댓글갯수,댓글 성실도,쿠팡비율,댓글 길이 평균,리뷰 작성 일수,알바여부
18,0.0555555555555555,0.8333333333333334,193.0,2,0
629,0.7583465818759937,0.766295707472178,16.257861635220127,80,0
25,0.0,0.96,0.0,1,0
4,0.25,1.0,10.0,2,0
3,0.0,1.0,0.0,1,0
69,0.0434782608695652,0.9710144927536232,126.0,2,0
38,0.1052631578947368,0.8157894736842105,127.5,16,0
315,0.984126984126984,0.9206349206349206,30.916129032258063,80,0
51,0.0392156862745098,0.7843137254901961,102.0,3,0
8,0.0,0.375,0.0,1,0
77,0.6103896103896104,0.935064935064935,11.808510638297872,21,0
18,0.0,0.3888888888888889,0.0,4,0
19,0.0,0.8421052631578947,0.0,2,0
125,0.024,0.808,14.666666666666666,72,0
30,0.1666666666666666,0.8666666666666667,6.2,3,0
15,0.0666666666666666,0.7333333333333333,27.0,3,0
113,0.5486725663716814,0.7345132743362832,72.0,31,0
12,0.1666666666666666,0.3333333333333333,13.5,6,0
19,0.0,0.8947368421052632,0.0,1,0
18,0.0,0.7222222222222222,0.0,1,0
14,0.0,1.0,0.0,1,0
70,1.0,0.9142857142857144,651.8428571428572,30,0
6,0.0,0.8333333333333334,0.0,2,0
44,0.0681818181818181,0.4772727272727273,15.333333333333334,4,0
58,0.9827586206896552,0.6551724137931034,324.3859649122807,45,0
3,0.3333333333333333,1.0,6.0,3,0
15,0.0666666666666666,0.7333333333333333,19.0,3,0
214,0.9766355140186916,0.9018691588785048,60.41626794258373,115,0
270,0.4740740740740741,0.0925925925925925,128.4296875,71,1
209,0.8086124401913876,0.3014354066985646,136.4852071005917,92,1
285,0.9017543859649124,0.0982456140350877,66.51750972762646,31,1
102,0.7450980392156863,0.0490196078431372,72.11842105263158,47,1
285,0.6701754385964912,0.312280701754386,150.33507853403142,67,1
183,0.6612021857923497,0.3278688524590163,182.396694214876,64,1
195,0.5897435897435898,0.1025641025641025,143.83478260869566,14,1
240,0.7833333333333333,0.2458333333333333,123.7127659574468,80,1
240,0.6916666666666667,0.1041666666666666,98.02409638554217,44,1
300,0.7366666666666667,0.1833333333333333,145.29864253393666,56,1
285,0.7368421052631579,0.1649122807017544,118.97619047619048,68,1
225,0.7022222222222222,0.2888888888888888,143.8987341772152,39,1
195,0.8051282051282052,0.0923076923076923,174.0828025477707,28,1
210,0.5904761904761905,0.3952380952380952,142.7258064516129,71,1
255,0.7176470588235294,0.0901960784313725,187.3333333333333,40,1
96,0.8020833333333334,0.4270833333333333,244.7532467532468,61,1
179,0.0223463687150838,0.664804469273743,232.5,37,1
59,0.4915254237288136,0.135593220338983,98.48275862068964,34,1
149,0.2550335570469799,0.4295302013422818,89.84210526315789,35,1
230,0.7608695652173914,0.1826086956521739,176.12,79,1
